CD_REFNIS,TX_DESCR_NL,TX_DESCR_FR,AREA,POP
81015,Messancy,Messancy,5262.231735,8218
82003,Bastenaken,Bastogne,17303.26014,15985
82005,Bertogne,Bertogne,9166.34113,3659
82009,Fauvillers,Fauvillers,7480.811881,2281
82014,Houffalize,Houffalize,16739.26742,5193
82032,Vielsalm,Vielsalm,14072.06737,7814
82036,Vaux-sur-Sûre,Vaux-sur-Sûre,13572.8108,5640
82037,Gouvy,Gouvy,16536.73619,5286
82038,Sainte-Ode,Sainte-Ode,9793.956225,2555
83012,Durbuy,Durbuy,15707.94536,11395
83013,Erezée,Erezée,7889.25851,3284
83028,Hotton,Hotton,5702.32355,5556
83031,La Roche-en-Ardenne,La Roche-en-Ardenne,14853.06023,4253
83034,Marche-en-Famenne,Marche-en-Famenne,12207.21696,17465
83040,Nassogne,Nassogne,11310.85223,5498
83044,Rendeux,Rendeux,6923.187363,2637
83049,Tenneville,Tenneville,9194.792796,2832
83055,Manhay,Manhay,12017.12636,3556
84009,Bertrix,Bertrix,13850.15925,8793
84010,Bouillon,Bouillon,14864.20413,5411
84016,Daverdisse,Daverdisse,5684.339909,1395
84029,Herbeumont,Herbeumont,5841.662586,1624
84033,Léglise,Léglise,17364.85151,5471
84035,Libin,Libin,14054.77031,5223
84043,Neufchâteau (Neufchâteau),Neufchâteau (Neufchâteau),11448.14399,7699
84050,Paliseul,Paliseul,11127.27158,5389
84059,Saint-Hubert,Saint-Hubert,11197.03523,5569
84068,Tellin,Tellin,5696.751373,2432
84075,Wellin,Wellin,6790.96672,3093
84077,Libramont-Chevigny,Libramont-Chevigny,17918.45738,11276
85007,Chiny,Chiny,11404.47744,5180
85009,Etalle,Etalle,7939.76815,5877
85011,Florenville,Florenville,14811.4156,5578
85024,Meix-devant-Virton,Meix-devant-Virton,5497.54251,2809
85026,Musson,Musson,3536.705792,4551
